Объект,Оборудование,Тип,ПериодДней,ПоследнееТО,Ответственный
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЭПУ-1 Vertiv 48/1600 стойка-1,2 (инв. 1300158175480000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЭПУ-2 Vertiv 48/1600 стойка-1,2 (инв. 1300155370770000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЭПУ-3 PS48/600 EMERSON,ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЭПУ-4 PS48/600 EMERSON (инв. 130013589033),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",КС-УЭПС-2К 24В/48А Авар. осв.,ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЭПУ -60В/24А.,ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","КС-УЭПС-2К 24В/48А ГО., ЧС.",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",зарядное КС-УЭПС-5 48В/528 (№ 010) (инв. 130024640),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",зарядное КС-УЭПС-5 48В/528 (№ 018),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","16OPzS 2000LA группа №1 (ЭПУ-1) (инв. 130015963867-130015963882, 130015963980-130015963987)",АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","16OPzS 2000LA группа №2 (ЭПУ-1) (инв. 130015963988-130015963995, 130015964118-130015964133)",АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","16OPzS 2000LA группа №1 (ЭПУ-2) (инв. 130015964134-130015964149, 130015964354-130015964361)",АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","16OPzS 2000LA группа №2 (ЭПУ-2) (инв. 130015964362-130015964369, 130015964388-130015964403)",АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","12OPzS 1200LA группа №3 (ЭПУ-2) (инв. 130016018256-130016018263, 130016018391-130016018406)",АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Ritar RL2500 группа №1 (ЭПУ-3) (инв. 130015698030-130015698055),АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Ritar RL2500 группа №2 (ЭПУ-3) (инв. 130015698057-130015698080),АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Ritar RL2500 группа №1 (ЭПУ-4) (инв. 130015998141-130015698155),АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Ritar RL2500 группа №2 (ЭПУ-4) (инв. 130015698185-130015698208),АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",AGM група №1 (ЭПУ 60В/24А),АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",AGM група №2 (ЭПУ 60В/24А),АКБ,90,2026-08-03,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит АВР выпрямительной ЩО-70-88 (инв. 1300155371110000),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","Щит распределительный №7,8,9 от АВР выпрямительной (инв. 1300155371110000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩПТ-1, 2 Выпрямительной (инв. 1300155369750000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЩПТ-3 Выпрямительной (инв. 13024640),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЩР-7-1 Выпрямительной (инв. 13239218),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЩР-7-2 Выпрямительной (инв. 130015537116),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ПР №3 Выпрямительной (инв. 130015537094),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЩПТ-2-1 Выпрямительной (инв. 130014174938),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ПР БП-1-1 Выпрямительной (инв. 130015653085),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит мониторинга Выпрямительной (инв. 130015536944),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
